Division,School,Ensemble Visual,Field Music,Ensemble Music,Overall Effect - Visual,Overall Effect - Music,Total,Percussion,High Music,High Overall Effect
Yankee A,York Suburban,13.6,16.25,14.6,13.75,14.85,73.05,150,30.85,28.6
Exhibition,Eastern York,14.8,15.9,15.6,15.95,15.95,78.2,165,31.5,31.9
Liberty A,Conrad Weiser,16.4,15.75,15.4,15.95,16.05,79.55,148,31.15,32
Liberty A,Hazleton Area,15.6,15.2,14.25,15.7,15.4,76.15,138.5,29.45,31.1
Liberty A,Catasauqua,14.8,15.55,13.65,15.35,15,73.35,144,29.2,30.35
Yankee A,Pennridge,15.8,16.4,15.2,16.35,16.6,80.35,147.5,31.6,32.95
American A,Pottsgrove,16.35,15.8,16.35,17.1,16.7,82.3,156,32.15,33.8
American A,Governor Mifflin,16.55,15.05,15.45,16.15,15.3,78.5,143.5,30.5,31.45
American A,Pottstown,15,15.3,15.5,15.3,15.35,76.45,140,30.8,30.65
American A,Hatboro Horsham,15.75,14.8,14.75,15.5,14.95,73.35,139,29.55,30.45
